LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
15m         Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-kdh25
15m         Normal    Scheduled               pod/presit-phase4-e2e-decision-kdh25      Successfully assigned pre-sit/presit-phase4-e2e-decision-kdh25 to presit-control-plane
15m         Normal    Created                 pod/presit-phase4-e2e-decision-kdh25      Created container bdd-runner
15m         Normal    Pulling                 pod/presit-phase4-e2e-decision-kdh25      Pulling image "localhost:5000/presit-bdd-runner:v2.2"
15m         Normal    Pulled                  pod/presit-phase4-e2e-decision-kdh25      Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 596ms (596ms including waiting). Image size: 262322454 bytes.
15m         Normal    Started                 pod/presit-phase4-e2e-decision-kdh25      Started container bdd-runner
14m         Normal    Completed               job/presit-phase4-e2e-decision            Job completed
4m16s       Normal    Scheduled               pod/postgres-0                            Successfully assigned pre-sit/postgres-0 to presit-control-plane
4m16s       Normal    Killing                 pod/postgres-0                            Stopping container postgres
4m15s       Normal    Created                 pod/postgres-0                            Created container postgres
4m15s       Normal    Pulled                  pod/postgres-0                            Container image "postgres:16-alpine" already present on machine
4m15s       Normal    Started                 pod/postgres-0                            Started container postgres
4m12s       Warning   Unhealthy               pod/customers-service-fff4c68f5-tbrgc     Readiness probe failed: Get "http://10.244.0.104:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
4m12s       Warning   Unhealthy               pod/vets-service-676bc85987-d4wwd         Readiness probe failed: Get "http://10.244.0.105:8083/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
4m12s       Warning   Unhealthy               pod/visits-service-c6d6c9c59-xgpbs        Readiness probe failed: Get "http://10.244.0.106:8082/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
4m10s       Normal    SuccessfulCreate        replicaset/vets-service-585f6b6bd7        Created pod: vets-service-585f6b6bd7-mrpq8
4m10s       Normal    Scheduled               pod/customers-service-7578d76799-lvsm4    Successfully assigned pre-sit/customers-service-7578d76799-lvsm4 to presit-control-plane
4m10s       Normal    SuccessfulCreate        replicaset/customers-service-7578d76799   Created pod: customers-service-7578d76799-lvsm4
4m10s       Normal    Scheduled               pod/vets-service-585f6b6bd7-mrpq8         Successfully assigned pre-sit/vets-service-585f6b6bd7-mrpq8 to presit-control-plane
4m10s       Normal    ScalingReplicaSet       deployment/vets-service                   Scaled up replica set vets-service-585f6b6bd7 to 1
4m10s       Normal    Scheduled               pod/visits-service-67cbd5788c-xcjk9       Successfully assigned pre-sit/visits-service-67cbd5788c-xcjk9 to presit-control-plane
4m10s       Normal    SuccessfulCreate        replicaset/visits-service-67cbd5788c      Created pod: visits-service-67cbd5788c-xcjk9
4m10s       Normal    ScalingReplicaSet       deployment/customers-service              Scaled up replica set customers-service-7578d76799 to 1
4m10s       Normal    ScalingReplicaSet       deployment/visits-service                 Scaled up replica set visits-service-67cbd5788c to 1
4m9s        Normal    Created                 pod/customers-service-7578d76799-lvsm4    Created container app
4m9s        Warning   FailedScheduling        pod/presit-phase2-application-8k9h9       running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "presit-reports": the object has been modified; please apply your changes to the latest version and try again
4m9s        Normal    Pulled                  pod/vets-service-585f6b6bd7-mrpq8         Successfully pulled image "localhost:5000/petclinic-vets-service:v2.2" in 19ms (19ms including waiting). Image size: 120739217 bytes.
4m9s        Normal    Pulling                 pod/vets-service-585f6b6bd7-mrpq8         Pulling image "localhost:5000/petclinic-vets-service:v2.2"
4m9s        Normal    Started                 pod/vets-service-585f6b6bd7-mrpq8         Started container app
4m9s        Normal    Provisioning            persistentvolumeclaim/presit-reports      External provisioner is provisioning volume for claim "pre-sit/presit-reports"
4m9s        Normal    ExternalProvisioning    persistentvolumeclaim/presit-reports      Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
4m9s        Normal    WaitForFirstConsumer    persistentvolumeclaim/presit-reports      waiting for first consumer to be created before binding
4m9s        Normal    Created                 pod/vets-service-585f6b6bd7-mrpq8         Created container app
4m9s        Normal    Started                 pod/customers-service-7578d76799-lvsm4    Started container app
4m9s        Normal    Pulled                  pod/customers-service-7578d76799-lvsm4    Successfully pulled image "localhost:5000/petclinic-customers-service:v2.2" in 21ms (65ms including waiting). Image size: 119840092 bytes.
4m9s        Normal    Pulling                 pod/visits-service-67cbd5788c-xcjk9       Pulling image "localhost:5000/petclinic-visits-service:v2.2"
4m9s        Normal    Pulled                  pod/visits-service-67cbd5788c-xcjk9       Successfully pulled image "localhost:5000/petclinic-visits-service:v2.2" in 28ms (47ms including waiting). Image size: 119831278 bytes.
4m9s        Normal    SuccessfulCreate        job/presit-phase2-application             Created pod: presit-phase2-application-8k9h9
4m9s        Normal    Created                 pod/visits-service-67cbd5788c-xcjk9       Created container app
4m9s        Normal    Started                 pod/visits-service-67cbd5788c-xcjk9       Started container app
4m9s        Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-ct8v4
4m9s        Normal    SuccessfulCreate        job/presit-phase1-database                Created pod: presit-phase1-database-sflwv
4m9s        Normal    Pulling                 pod/customers-service-7578d76799-lvsm4    Pulling image "localhost:5000/petclinic-customers-service:v2.2"
4m9s        Normal    SuccessfulCreate        job/presit-phase3-integration             Created pod: presit-phase3-integration-n2b4x
4m7s        Normal    ProvisioningSucceeded   persistentvolumeclaim/presit-reports      Successfully provisioned volume pvc-10e978ae-9138-4fc6-9837-35eb620db5f2
4m7s        Normal    Scheduled               pod/presit-phase2-application-8k9h9       Successfully assigned pre-sit/presit-phase2-application-8k9h9 to presit-control-plane
4m7s        Normal    Pulling                 pod/presit-phase2-application-8k9h9       Pulling image "bitnami/kubectl:latest"
4m6s        Normal    Pulling                 pod/presit-phase3-integration-n2b4x       Pulling image "bitnami/kubectl:latest"
4m6s        Normal    Scheduled               pod/presit-phase3-integration-n2b4x       Successfully assigned pre-sit/presit-phase3-integration-n2b4x to presit-control-plane
4m6s        Normal    Pulled                  pod/presit-phase1-database-sflwv          Container image "busybox:1.36" already present on machine
4m6s        Normal    Created                 pod/presit-phase1-database-sflwv          Created container wait-for-db
4m6s        Normal    Started                 pod/presit-phase1-database-sflwv          Started container wait-for-db
4m6s        Normal    Pulling                 pod/presit-phase4-e2e-decision-ct8v4      Pulling image "bitnami/kubectl:latest"
4m6s        Normal    Scheduled               pod/presit-phase4-e2e-decision-ct8v4      Successfully assigned pre-sit/presit-phase4-e2e-decision-ct8v4 to presit-control-plane
4m6s        Normal    Scheduled               pod/presit-phase1-database-sflwv          Successfully assigned pre-sit/presit-phase1-database-sflwv to presit-control-plane
4m6s        Normal    Pulling                 pod/presit-phase1-database-sflwv          Pulling image "localhost:5000/presit-bdd-runner:v2.2"
4m5s        Normal    Pulled                  pod/presit-phase2-application-8k9h9       Successfully pulled image "bitnami/kubectl:latest" in 1.381s (1.381s including waiting). Image size: 80196245 bytes.
4m5s        Normal    Created                 pod/presit-phase2-application-8k9h9       Created container wait-for-phase1
4m5s        Normal    Started                 pod/presit-phase2-application-8k9h9       Started container wait-for-phase1
4m4s        Normal    Pulled                  pod/presit-phase3-integration-n2b4x       Successfully pulled image "bitnami/kubectl:latest" in 1.533s (2.142s including waiting). Image size: 80196245 bytes.
4m4s        Normal    Created                 pod/presit-phase3-integration-n2b4x       Created container wait-for-phase2
4m4s        Normal    Started                 pod/presit-phase3-integration-n2b4x       Started container wait-for-phase2
4m2s        Normal    Created                 pod/presit-phase1-database-sflwv          Created container bdd-runner
4m2s        Normal    Started                 pod/presit-phase1-database-sflwv          Started container bdd-runner
4m2s        Normal    Pulled                  pod/presit-phase1-database-sflwv          Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 25ms (3.558s including waiting). Image size: 262322454 bytes.
4m2s        Normal    Pulled                  pod/presit-phase4-e2e-decision-ct8v4      Successfully pulled image "bitnami/kubectl:latest" in 1.594s (3.723s including waiting). Image size: 80196245 bytes.
4m2s        Normal    Created                 pod/presit-phase4-e2e-decision-ct8v4      Created container wait-for-phase3
4m2s        Normal    Started                 pod/presit-phase4-e2e-decision-ct8v4      Started container wait-for-phase3
3m41s       Normal    Created                 pod/presit-phase1-database-6jhl7          Created container wait-for-db
3m41s       Normal    Pulled                  pod/presit-phase1-database-6jhl7          Container image "busybox:1.36" already present on machine
3m41s       Normal    Started                 pod/presit-phase1-database-6jhl7          Started container wait-for-db
3m41s       Normal    SuccessfulCreate        job/presit-phase1-database                Created pod: presit-phase1-database-6jhl7
3m41s       Normal    Scheduled               pod/presit-phase1-database-6jhl7          Successfully assigned pre-sit/presit-phase1-database-6jhl7 to presit-control-plane
3m40s       Normal    Pulling                 pod/presit-phase1-database-6jhl7          Pulling image "localhost:5000/presit-bdd-runner:v2.2"
3m40s       Normal    Pulled                  pod/presit-phase1-database-6jhl7          Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 19ms (19ms including waiting). Image size: 262322454 bytes.
3m40s       Normal    Created                 pod/presit-phase1-database-6jhl7          Created container bdd-runner
3m40s       Normal    Started                 pod/presit-phase1-database-6jhl7          Started container bdd-runner
3m29s       Normal    SuccessfulDelete        replicaset/customers-service-fff4c68f5    Deleted pod: customers-service-fff4c68f5-tbrgc
3m29s       Normal    Killing                 pod/visits-service-c6d6c9c59-xgpbs        Stopping container app
3m29s       Normal    ScalingReplicaSet       deployment/customers-service              Scaled down replica set customers-service-fff4c68f5 to 0 from 1
3m29s       Normal    ScalingReplicaSet       deployment/vets-service                   Scaled down replica set vets-service-676bc85987 to 0 from 1
3m29s       Normal    Completed               job/presit-phase1-database                Job completed
3m29s       Normal    Killing                 pod/customers-service-fff4c68f5-tbrgc     Stopping container app
3m29s       Normal    SuccessfulDelete        replicaset/visits-service-c6d6c9c59       Deleted pod: visits-service-c6d6c9c59-xgpbs
3m29s       Normal    SuccessfulDelete        replicaset/vets-service-676bc85987        Deleted pod: vets-service-676bc85987-d4wwd
3m29s       Normal    ScalingReplicaSet       deployment/visits-service                 Scaled down replica set visits-service-c6d6c9c59 to 0 from 1
3m29s       Normal    Killing                 pod/vets-service-676bc85987-d4wwd         Stopping container app
3m28s       Normal    Pulling                 pod/presit-phase2-application-8k9h9       Pulling image "bitnami/kubectl:latest"
3m27s       Normal    Pulled                  pod/presit-phase2-application-8k9h9       Successfully pulled image "bitnami/kubectl:latest" in 1.327s (1.327s including waiting). Image size: 80196245 bytes.
3m27s       Normal    Created                 pod/presit-phase2-application-8k9h9       Created container wait-for-apps
3m27s       Normal    Started                 pod/presit-phase2-application-8k9h9       Started container wait-for-apps
3m25s       Normal    Started                 pod/presit-phase2-application-8k9h9       Started container bdd-runner
3m25s       Normal    Created                 pod/presit-phase2-application-8k9h9       Created container bdd-runner
3m25s       Normal    Pulling                 pod/presit-phase2-application-8k9h9       Pulling image "localhost:5000/presit-bdd-runner:v2.2"
3m25s       Normal    Pulled                  pod/presit-phase2-application-8k9h9       Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 22ms (22ms including waiting). Image size: 262322454 bytes.
3m7s        Normal    Completed               job/presit-phase2-application             Job completed
3m6s        Normal    Created                 pod/presit-phase3-integration-n2b4x       Created container bdd-runner
3m6s        Normal    Pulling                 pod/presit-phase3-integration-n2b4x       Pulling image "localhost:5000/presit-bdd-runner:v2.2"
3m6s        Normal    Pulled                  pod/presit-phase3-integration-n2b4x       Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 18ms (18ms including waiting). Image size: 262322454 bytes.
3m6s        Normal    Started                 pod/presit-phase3-integration-n2b4x       Started container bdd-runner
2m49s       Normal    Completed               job/presit-phase3-integration             Job completed
2m48s       Normal    Started                 pod/presit-phase4-e2e-decision-ct8v4      Started container bdd-runner
2m48s       Normal    Created                 pod/presit-phase4-e2e-decision-ct8v4      Created container bdd-runner
2m48s       Normal    Pulled                  pod/presit-phase4-e2e-decision-ct8v4      Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 19ms (19ms including waiting). Image size: 262322454 bytes.
2m48s       Normal    Pulling                 pod/presit-phase4-e2e-decision-ct8v4      Pulling image "localhost:5000/presit-bdd-runner:v2.2"
2m1s        Normal    Completed               job/presit-phase4-e2e-decision            Job completed
108s        Normal    Scheduled               pod/evidence-fetcher                      Successfully assigned pre-sit/evidence-fetcher to presit-control-plane
107s        Normal    Started                 pod/evidence-fetcher                      Started container c
107s        Normal    Created                 pod/evidence-fetcher                      Created container c
107s        Normal    Pulled                  pod/evidence-fetcher                      Container image "busybox:1.36" already present on machine
106s        Normal    Killing                 pod/evidence-fetcher                      Stopping container c
33s         Normal    Scheduled               pod/evidence-fetcher                      Successfully assigned pre-sit/evidence-fetcher to presit-control-plane
32s         Normal    Pulled                  pod/evidence-fetcher                      Container image "busybox:1.36" already present on machine
32s         Normal    Created                 pod/evidence-fetcher                      Created container c
32s         Normal    Started                 pod/evidence-fetcher                      Started container c
31s         Normal    Killing                 pod/evidence-fetcher                      Stopping container c
