LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
28m         Normal    Scheduled               pod/customers-service-c8659d44c-lg8cv     Successfully assigned pre-sit/customers-service-c8659d44c-lg8cv to presit-control-plane
28m         Normal    SuccessfulCreate        replicaset/customers-service-c8659d44c    Created pod: customers-service-c8659d44c-lg8cv
28m         Normal    ScalingReplicaSet       deployment/customers-service              Scaled up replica set customers-service-c8659d44c to 1
28m         Normal    Created                 pod/customers-service-c8659d44c-lg8cv     Created container app
28m         Normal    Pulled                  pod/customers-service-c8659d44c-lg8cv     Successfully pulled image "localhost:5000/petclinic-customers-service:v2.2" in 348ms (348ms including waiting). Image size: 119840092 bytes.
28m         Normal    Pulling                 pod/customers-service-c8659d44c-lg8cv     Pulling image "localhost:5000/petclinic-customers-service:v2.2"
28m         Normal    Started                 pod/customers-service-c8659d44c-lg8cv     Started container app
27m         Normal    SuccessfulDelete        replicaset/customers-service-54d78b6cf7   Deleted pod: customers-service-54d78b6cf7-95xtb
27m         Normal    ScalingReplicaSet       deployment/customers-service              Scaled down replica set customers-service-54d78b6cf7 to 0 from 1
27m         Normal    Killing                 pod/customers-service-54d78b6cf7-95xtb    Stopping container app
27m         Normal    Pulling                 pod/busy                                  Pulling image "alpine"
27m         Normal    Scheduled               pod/busy                                  Successfully assigned pre-sit/busy to presit-control-plane
27m         Normal    Pulled                  pod/busy                                  Successfully pulled image "alpine" in 1.55s (1.55s including waiting). Image size: 3875040 bytes.
27m         Normal    Created                 pod/busy                                  Created container busy
27m         Normal    Started                 pod/busy                                  Started container busy
26m         Normal    ExternalProvisioning    persistentvolumeclaim/presit-reports      Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
26m         Normal    Provisioning            persistentvolumeclaim/presit-reports      External provisioner is provisioning volume for claim "pre-sit/presit-reports"
26m         Warning   FailedScheduling        pod/presit-phase2-application-5qk2t       running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "presit-reports": the object has been modified; please apply your changes to the latest version and try again
26m         Normal    SuccessfulCreate        job/presit-phase2-application             Created pod: presit-phase2-application-5qk2t
26m         Normal    WaitForFirstConsumer    persistentvolumeclaim/presit-reports      waiting for first consumer to be created before binding
26m         Normal    SuccessfulCreate        job/presit-phase3-integration             Created pod: presit-phase3-integration-jsdc8
